F,x,grad
0.001,2.0187315241670944e-7,2.0400504538997666e-6
0.002,2.0392862831730696e-7,2.0818389609544854e-6
0.003,2.0602631523036763e-7,2.1249241431320344e-6
0.004,2.0816752394070548e-7,2.1693601699013246e-6
0.005,2.1035361996712965e-7,2.2152040670020414e-6
0.006,2.1258602633800194e-7,2.262515898943107e-6
0.007,2.1486622675537248e-7,2.311358965312316e-6
0.008,2.1719576892564874e-7,2.3618000120073646e-6
0.009,2.1957626783475348e-7,2.413909458587327e-6
0.01,2.220094094673719e-7,2.4677616435320182e-6
0.011,2.244969550813103e-7,2.523435088519488e-6
0.012,2.2704074476020963e-7,2.5810127841863207e-6
0.013,2.2987310110966774e-7,2.6432304771173423e-6
0.014,2.3254562514507526e-7,2.705036618422252e-6
0.015,2.352810135053396e-7,2.7690363632149053e-6
0.016,2.3808151022874924e-7,2.8353347552689814e-6
0.017,2.4094946760033764e-7,2.904043201779061e-6
0.018,2.438873524246432e-7,2.9752799415971867e-6
0.019,2.46897753242159e-7,3.0491705540147685e-6
0.02,2.499833879343605e-7,3.1258485125640337e-6
0.021,2.531471119393558e-7,3.2054557880689673e-6
0.022,2.5639192696713664e-7,3.2881435058529364e-6
0.023,2.597209905474962e-7,3.3740726637754295e-6
0.024,2.6313762629959214e-7,3.4634149156165254e-6
0.025,2.6664533492315456e-7,3.5563534295457445e-6
0.026,2.7024780618889466e-7,3.653083826793413e-6
0.027,2.7394893187260294e-7,3.7538152115823565e-6
0.028,2.777528197439594e-7,3.858771302334141e-6
0.029,2.8166380883209996e-7,3.968191673986432e-6
0.03,2.856864858014063e-7,4.082333126043114e-6
0.031,2.898256855621284e-7,4.201470937537089e-6
0.032,2.940859377686955e-7,4.325892087653216e-6
0.033,2.984732433430892e-7,4.455922638091359e-6
0.034,3.0299336967187784e-7,4.591904871520392e-6
0.035,3.0765243874686377e-7,4.73420757926002e-6
0.036,3.1245695458759215e-7,4.883228563357101e-6
0.037,3.1741383338390605e-7,5.0393974187823435e-6
0.038,3.2253043691365946e-7,5.203178631618677e-6
0.039,3.2781460923558825e-7,5.3750750358183556e-6
0.04,3.332747159912053e-7,5.5556316754912245e-6
0.041,3.389196895908775e-7,5.745440129190094e-6
0.042,3.447590770644382e-7,5.945143360031047e-6
0.043,3.5080309457313774e-7,6.1554411657338555e-6
0.044,3.570626866400417e-7,6.377096315057784e-6
0.045,3.6354959254136787e-7,6.610941471796306e-6
0.046,3.702764194146724e-7,6.857887022770904e-6
0.047,3.7725672435984237e-7,7.118929948712883e-6
0.048,3.8450510536636173e-7,7.395163898837876e-6
0.049,3.9203730334280706e-7,7.687790659560713e-6
0.05,3.998703161367523e-7,7.99813324305898e-6
0.051,4.080225264879722e-7,8.327650861450486e-6
0.052,4.1651384607988007e-7,8.677956104174988e-6
0.053,4.2536587790964475e-7,9.050834696866518e-6
0.054,4.346020997525457e-7,9.448268294831586e-6
0.055,4.4424807188470083e-7,9.872460855286926e-6
0.056,4.543316735605707e-7,1.0325869245630948e-5
0.057,4.648833717979528e-7,1.0811238883379205e-5
0.058,4.7593652902078176e-7,1.133164537545639e-5
0.059,4.875277551663615e-7,1.1890543343962003e-5
0.06,4.996973140269922e-7,1.2491823902294197e-5
0.061,5.124895869346169e-7,1.3139882454815678e-5
0.062,5.259536169921475e-7,1.3839699294115882e-5
0.063,5.401437359608963e-7,1.4596935499655572e-5
0.064,5.55120297451861e-7,1.541804772925426e-5
0.065,5.709505344619892e-7,1.631042623999601e-5
0.066,5.877095687889522e-7,1.7282561671394526e-5
0.067,6.054811408917615e-7,1.834423366244842e-5
0.068,6.243419271578787e-7,1.9506222278087293e-5
0.069,6.444118112458597e-7,2.0782089455484434e-5
0.07,6.658104250711894e-7,2.218719455306939e-5
0.071,6.886736492739409e-7,2.373957220769274e-5
