F,x,grad
0.001,3.879603414891383e-6,0.0040483724290351075
0.002,7.757312725317161e-6,0.004045856540390047
0.003,1.1631251624892219e-5,0.004041706498594355
0.004,1.5208883954986888e-5,0.004029531372272999
0.005,1.8999997792571506e-5,0.004022271228495667
0.006,2.278397126097994e-5,0.004013649355497451
0.007,2.655963777148174e-5,0.004003814760982882
0.008,3.0325968861447998e-5,0.003992941307297527
0.009,3.412407915930049e-5,0.0039814880406764735
0.01,3.7873281543607656e-5,0.0039691630706715445
0.011,4.161086035889292e-5,0.00395645346771577
0.012,4.533650263181315e-5,0.003943611278954507
0.013,4.905011657431513e-5,0.00393090015013895
0.014,5.275184018654854e-5,0.003918591348223688
0.015,5.644204645760153e-5,0.0039069595990065984
0.016,6.0121345072748786e-5,0.0038962789155632008
0.017,6.379058068080765e-5,0.003886818600802322
0.018,6.745082792111373e-5,0.003878839597627604
0.019,7.110338353961019e-5,0.0038725913347157693
0.02,7.47497560309876e-5,0.003868309178689755
0.021,7.839165331759923e-5,0.0038662125596082954
0.022,8.203096901640588e-5,0.003866503791591125
0.023,8.566976785011746e-5,0.003869367568876625
0.024,8.931027073575488e-5,0.003874971083231016
0.025,9.295484003499881e-5,0.0038834646834990274
0.026,9.660596538651393e-5,0.003894982982810691
0.027,0.0001002662504662118,0.003909646312941351
0.028,0.00010393840094450093,0.003927562427099562
0.029,0.00010762521383476308,0.00394882836012127
0.03,0.00011132956835857778,0.003973532366660571
0.031,0.0001150544183941337,0.004001755871685497
0.032,0.0001188027865241593,0.004033575381863541
0.033,0.00012257775966172257,0.00406906432015034
0.034,0.00012638248620213335,0.0041082947582849584
0.035,0.00013022017463142568,0.004151339032538126
0.036,0.00013409409350836467,0.004198271236792184
0.037,0.00013800757273397127,0.004249168593861219
0.038,0.00014196400602140292,0.004304112711075525
0.039,0.0001459668544852574,0.004363190729748267
0.04,0.0001500196512757656,0.004426496380496581
0.041,0.00015412600719433604,0.004494130957737353
0.042,0.00015828961723810214,0.004566204227267323
0.043,0.00016251426803308444,0.0046428352808738586
0.044,0.00016680384612910893,0.00472415335155273
0.045,0.00017116234714193785,0.004810298602324403
0.046,0.00017559388574183977,0.004901422900874342
0.047,0.00018010270650040185,0.004997690591456827
0.048,0.0001846931956201665,0.005099279274668978
0.049,0.0001893698935846675,0.00520638060494818
0.05,0.00019413750877945258,0.005319201114917061
0.051,0.0001990009321467513,0.005437963075065378
0.052,0.00020396525295032116,0.005562905396694085
0.053,0.00020903577573953732,0.005694284585556009
0.054,0.00021421803861602071,0.005832375753222219
0.055,0.00021951783292037234,0.00597747369283208
0.056,0.0002249412244707832,0.006129894025592531
0.057,0.00023049457650218066,0.0062899744241055825
0.058,0.0002361845744698725,0.00645807591835319
0.059,0.00024201825290043308,0.0066345842898994705
0.06,0.00024800302449014933,0.0068199115596095485
0.061,0.0002541467116713854,0.007014497573830947
0.062,0.0002604575808881045,0.007218811693628435
0.063,0.00026694437984284167,0.00743335459115736
0.064,0.00027361637799998604,0.007658660156676689
0.065,0.0002804834106536642,0.007895297518958988
0.066,0.00028755592689062875,0.00814387318093468
0.067,0.00029484504180259043,0.008405033271283347
0.068,0.00030236259332399283,0.008679465911354734
0.069,0.00031012120409141023,0.008967903695130798
0.07,0.00031813434873939687,0.009271126278151588
0.071,0.0003264164270606393,0.009589963069020536
0.072,0.00033498284346798274,0.00992529601473351
0.073,0.00034385009319764956,0.010278062468266957
0.074,0.0003530358556858939,0.010649258123836804
0.075,0.0003625590955351082,0.011039940002073135
0.076,0.00037244017145633495,0.011451229463935531
0.077,0.00038270095353104663,0.01188431522877117
0.078,0.00039336494907809785,0.012340456368446951
0.079,0.0004044574373374829,0.01282098524597064
0.08,0.00041600561309439215,0.013327310363332701
0.081,0.00042803873926433816,0.013860919079103496
0.082,0.0004405883083489032,0.014423380150909361
0.083,0.0004536882125518312,0.01501634604990092
0.084,0.00046737492222430777,0.015641554981648643
0.085,0.00048168767218456003,0.01630083252698823
0.086,0.0004966686553252154,0.016996092782655882
0.087,0.0005123632227663913,0.01772933882760205
0.088,0.0005288200895860224,0.018502662258453484
0.089,0.0005460915447964091,0.019318241415283946
0.09,0.0005642336636030267,0.020178337745002974
0.091,0.0005833065189058804,0.021085289512868578
0.092,0.0006033743872228556,0.02204150176515284
0.093,0.0006245059414200599,0.02304943106830667
0.094,0.0006467744184685121,0.024111563117678703
0.095,0.0006702577445853227,0.02523038085611408
0.096,0.0006950385923589872,0.026408320334404503
0.097,0.0007212043348702437,0.027647711272289013
0.098,0.0007488468508965607,0.028950699261391256
0.099,0.0007780621241184,0.030319146927848973
0.1,0.0008089495695974693,0.03175451228332513
0.101,0.000841611015160145,0.03325770406845807
0.102,0.0008761492668266573,0.03482891624030195
0.103,0.000912666199742228,0.03646744695232725
0.104,0.000951260343153954,0.03817151144160716
0.105,0.000992023973532934,0.0399380630431643
0.106,0.0010350397960290948,0.04176264163189334
0.107,0.0010803773788701787,0.043639273119692325
0.108,0.0011280895981874638,0.04556044551088395
0.109,0.0011782094321368577,0.047517184372555865
0.11,0.001230747485126462,0.04949924181403764
0.111,0.001285690598093186,0.05149539824363025
0.112,0.001343001795748885,0.05349385779174978
0.113,0.0014026216486152094,0.05548270101370672
0.114,0.001464470924943414,0.05745034747593103
0.115,0.0015284542274074516,0.059385979528208614
0.116,0.0015944641968751992,0.061279887150006034
0.117,0.0016623858415312305,0.06312370920315136
0.118,0.0017321006060462688,0.06491056400914778
0.119,0.0018034899035202546,0.0666350774830338
0.12,0.0018764379574837738,0.06829332738997589
0.121,0.0019508339135414924,0.06988272699023489
0.122,0.0020265732639536188,0.0714018713075411
0.123,0.0021035586793745386,0.07285036612126694
0.124,0.002181700364103681,0.07422865518896297
0.125,0.002260916052424297,0.07553785641857921
0.126,0.002341130752073984,0.0767796134834382
0.127,0.0024222763232602234,0.07795596605446908
0.128,0.0025042909626327367,0.07906923944789064
0.129,0.0025871186439063954,0.08012195294431534
0.13,0.0026707085517653313,0.08111674514102954
0.131,0.0027550145335855677,0.08205631427910606
0.132,0.0028399945843452477,0.08294337137546366
0.133,0.002925610373290131,0.08378060407499931
0.134,0.003011826816174499,0.08457064932505015
0.135,0.003098611693647379,0.08531607320938388
0.136,0.003185935314237353,0.08601935652379476
0.137,0.0032737702191267233,0.08668288490732132
0.138,0.0033620909251923107,0.0873089425530696
0.139,0.0034508737024941368,0.0878997087050048
0.14,0.003540096382343835,0.08845725630187243
0.141,0.0036297381922537845,0.08898355225632396
0.142,0.0037197796142472736,0.0894804589651287
0.143,0.0038102022633540707,0.08994973672931404
0.144,0.0039009887833960453,0.09039304683288137
0.145,0.003992122757514957,0.09081195508313526
0.146,0.004083588631167974,0.09120793565910996
0.147,0.0041753716456535625,0.09158237514873459
0.148,0.004267457780459555,0.09193657668254065
0.149,0.004359833702993322,0.09227176409340387
0.15,0.004452486724461296,0.09258908604743733
0.151,0.004545404760860337,0.09288962010606162
0.152,0.0046385762982195655,0.0931743766879662
0.153,0.004731990361357194,0.09344430290877956
0.154,0.004825636485571304,0.09370028628273896
0.155,0.004919504690764095,0.09394315827520555
0.156,0.005013585457604788,0.09417369769926476
0.157,0.005107869705410253,0.09439263395287847
0.158,0.0052023487714746445,0.09460065009539836
0.159,0.005297014391652468,0.09479838576398597
0.16,0.0053918586820184515,0.09498643993257536
0.161,0.005486874121474856,0.09516537351677648
0.162,0.005582053535209381,0.0953357118291125
0.163,0.005677390078910036,0.09549794688957063
0.164,0.005772877223684122,0.09565253959721777
0.165,0.0058685087416242565,0.09579992176859381
0.166,0.005964278691978215,0.09594049804904799
0.167,0.006060181407897543,0.09607464770314089
0.168,0.00615621148373489,0.09620272629029784
0.169,0.006252363762863568,0.09632506723194278
0.17,0.006348633326004882,0.096441983276084
0.171,0.006445015480048215,0.09655376786514117
0.172,0.006541505747339695,0.09666069641293071
0.173,0.006638099855434937,0.09676302749620426
0.174,0.006734793727295636,0.09686100396590641
0.175,0.006831583471915999,0.09695485398350367
0.176,0.006928465375371107,0.09704479198689465
0.177,0.007025435892269071,0.09713101959060522
0.178,0.007122491637591837,0.09721372642472312
0.179,0.007219629378919798,0.09729309091634422
0.18,0.00731684602901728,0.09736928101773709
0.181,0.007414138638768864,0.09744245488460718
0.182,0.007511504390457245,0.09751276150798091
0.183,0.007608940591362405,0.09758034130287156
0.184,0.007706444667676886,0.09764532665671564
0.185,0.007804014158711949,0.09770784244037328
0.186,0.00790164671139833,0.09776800648435767
0.187,0.00799934007505722,0.0978259300225616
0.188,0.008097092096428412,0.09788171810605924
0.189,0.008194900714955345,0.09793546998872982
0.19,0.008292763958300921,0.09798727948698924
0.191,0.008390679938094765,0.09803723531524153
0.192,0.008488646845893209,0.09808542139889935
0.193,0.008586662949345762,0.0981319171664757
0.194,0.00868472658855706,0.09817679782222333
0.195,0.008782836172632917,0.09822013460074161
0.196,0.008880990176403751,0.09826199500475813
0.197,0.008979187137314415,0.09830244302729291
0.198,0.009077425652473433,0.09834153935928629
0.199,0.009175704375851303,0.09837934158373572
0.2,0.00927402201562407,0.09841590435719787
