F,x,gb0,gb1
0.01,1.4814142690333654e-9,1.6517116034725554e-8,1.8266021603707834e-8
0.02,1.6665597790677111e-9,2.262591730529543e-8,2.317215820439867e-8
0.03,1.904583046830055e-9,2.8199985720045933e-8,3.037518680004682e-8
0.04,2.2218489825753807e-9,3.7972935692986845e-8,4.3477276643777434e-8
0.05,2.6666487351612034e-9,5.996970733811053e-8,6.390813210239704e-8
0.06,3.3332595017476763e-9,1.1023445868472309e-7,1.183872567164678e-7
0.07,4.444190404573334e-9,3.9075415412491286e-7,2.2891207012809554e-7
0.08,6.664842289172412e-9,0.002207579650883962,0.0019820862227909993
0.09,1.3332437487356685e-8,0.014505996346241987,0.015362597631426465
0.1,3.338160107835275e-6,0.048029064038266185,0.051685437990225264
0.11,0.0010000133585606474,0.08125069734695235,0.0835832754769631
0.12,0.002000006693149703,0.09882910809148107,0.09767028271762766
0.13,0.0030000044706611773,0.09974660397441004,0.09979978977780866
0.14,0.0040000033596864215,0.09999988675924064,0.09999989185350483
0.15,0.00500000269302564,0.09999993925658576,0.09999993830149928
0.16,0.006000002248553127,0.09999995919216255,0.09999995973188203
0.17,0.007000001931051714,0.09999997129960216,0.09999997069233349
0.18,0.008000001692908543,0.09999997818929003,0.09999997792141152
0.19,0.009000001507673938,0.09999998335337824,0.0999999829966198
0.2,0.010000001359475652,0.09999998716797344,0.09999998596101327
