F,x,gb0,gb1
0.0,-1.782357152700436e-18,1.1324652690863016e-7,0.0
0.5,1.4035587118183138e-10,1.1404973134748023e-7,0.0
1.0,2.828346211173799e-10,1.1697016160107019e-7,0.0
1.5,4.294703339607439e-10,1.2150986758591712e-7,0.0
2.0,5.824852408371478e-10,1.275687854610252e-7,0.0
2.5,7.445509159145148e-10,1.362998167698388e-7,0.0
3.0,9.189744867977865e-10,1.488015315727346e-7,0.0
3.5,1.1107883651815578e-9,1.635099861193801e-7,0.0
4.0,1.3239836951892124e-9,1.8310557499454057e-7,0.0
4.5,1.5665410739330968e-9,2.1788111306379418e-7,0.0
5.0,1.848381533344115e-9,2.5938373249672375e-7,0.0
5.5,2.1838137265092627e-9,3.165331958287522e-7,0.0
6.0,2.5940639124644997e-9,4.0310221155524257e-7,0.0
6.5,3.12487707022932e-9,5.191124474645536e-7,0.0
7.0,3.808361236770463e-9,7.511327285219022e-7,0.0
7.5,4.753904989275313e-9,1.042721531500996e-6,0.0
8.0,6.15921007422016e-9,2.1058237822398678e-6,0.0
8.5,8.476805876266016e-9,8.616950531555593e-6,0.004
9.0,1.3105889885749708e-8,0.07761232142422181,0.04800000000000001
9.5,2.693507027873307e-8,0.1922818402310844,0.21599999999999955
10.0,3.395557390910055e-6,0.5360010324141737,0.49800000000000166
10.5,0.0012425404053648904,0.7965000750234957,0.7880000000000057
11.0,0.00249249946541391,0.908451128741506,0.948000000000008
11.5,0.0037425689142564383,0.997807333673916,0.9920000000000087
12.0,0.0049924854342043076,0.9999741911391969,1.0000000000000087
12.5,0.006242386651052497,0.9999781641460554,1.0000000000000087
13.0,0.0074924016105192455,0.999995078012124,1.0000000000000087
13.5,0.00874242695995523,1.00000490497173,1.0000000000000087
14.0,0.009992449048339423,0.9999931912232435,1.0000000000000087
14.5,0.011242379003644824,0.999988749323459,1.0000000000000087
15.0,0.012492377910991968,0.9999936885542346,1.0000000000000087
15.5,0.01374238610367578,1.0000083829335669,1.0000000000000087
16.0,0.014992417628751076,1.0000116510777584,1.0000000000000087
16.5,0.016242435106233716,1.000011384785456,1.0000000000000087
17.0,0.017492439140473978,1.0000036222770714,1.0000000000000087
17.5,0.018742454536596963,1.00000112686371,1.0000000000000087
18.0,0.019992374847462024,1.000004407752123,1.0000000000000087
18.5,0.0212424807490936,1.0000229003527863,1.0000000000000087
19.0,0.022492508457377807,1.0000254592100195,1.0000000000000087
19.5,0.02374253148611128,1.0000189034261247,1.0000000000000087
20.0,0.024992552787022653,0.9999976824682114,1.0000000000000087
