F,x,gb0,gb1
0.01,1.4814142690333654e-9,0.00020638230600366264,0.00020004051173654316
0.02,1.6665597790677111e-9,0.0007866299318697782,0.0004003025238888174
0.03,1.904583046830055e-9,0.0008511464591602846,0.0010018334158770534
0.04,2.2218489825753807e-9,0.00283103703428699,0.0028003911774984016
0.05,2.6666487351612034e-9,0.003798825323814674,0.005596836233382837
0.06,3.3332595017476763e-9,0.00784635802405394,0.00860411533605907
0.07,4.444190404573334e-9,0.017658742380165876,0.015758897018482314
0.08,6.664842289172412e-9,0.026176435530619737,0.0248427864245828
0.09,1.3332437487356685e-8,0.034753333814699375,0.03156940134820419
0.1,3.338160107835275e-6,0.045929275168955785,0.04965414621984576
0.11,0.0010000133585606474,0.06549977626948633,0.063828169757497
0.12,0.002000006693149703,0.07264572450734953,0.07591490393632815
0.13,0.0030000044706611773,0.08736305984484675,0.08520650583131445
0.14,0.0040000033596864215,0.09099509952902228,0.09008435002945712
0.15,0.00500000269302564,0.0946800043492786,0.09159663130825198
0.16,0.006000002248553127,0.09690464123260768,0.09739969513649899
0.17,0.007000001931051714,0.0978880514684611,0.09919928868279124
0.18,0.008000001692908543,0.09995030499875394,0.0990000447054245
0.19,0.009000001507673938,0.09973784786763097,0.09979994226102458
0.2,0.010000001359475652,0.09999997970297941,0.09999997223822325
