F,x,gb0,gb1
0.01,2.982834118479454e-10,9.318576324095073e-5,0.0002000467758683377
0.02,5.970974106929215e-10,0.00032695483246080554,0.0009957442236093541
0.03,8.983578423920271e-10,0.002008755158442499,0.0008003465106069052
0.04,1.231742716473317e-9,0.0031030815251653064,0.0015993477620083437
0.05,1.6492618061300495e-9,0.004398700125000256,0.006696695574970182
0.06,2.2247219491607466e-9,0.012424720985832421,0.01100311207565032
0.07,3.200698999897061e-9,0.020493519923268158,0.01904051048944453
0.08,5.048209468193885e-9,0.02902338422195589,0.02854713058936979
0.09,1.0562036041112316e-8,0.03757738351968786,0.03928283027304833
0.1,2.1973705421600867e-6,0.04844878788888772,0.05003347134158271
0.11,0.0009979635532184593,0.05823335034753349,0.06202056444912186
0.12,0.0019979553832628776,0.07391623733890743,0.07593416902476217
0.13,0.0029979503163184654,0.08396322788218326,0.08139912429317032
0.14,0.003997980912396904,0.0917218122129093,0.08921077711857714
0.15,0.0049979459744784495,0.09536031226283478,0.09274048311501401
0.16,0.005997920235374879,0.0962179519872182,0.09740277016898817
0.17,0.006997915866803192,0.09895846107977077,0.09753914620634238
0.18,0.007997927333153961,0.0993421598453474,0.09957249562239676
0.19,0.00899795512167048,0.09998236232568895,0.09999997261688226
0.2,0.009997975610336881,0.09946930379782827,0.09999998070202033
